DateTime,CO(GT),C6H6(GT),NOx(GT),NO2(GT)
2004-03-20 11:00:00,2.8,12.3,195.0,113.0
2004-03-20 12:00:00,2.6,11.7,182.0,108.0
2004-03-20 13:00:00,2.6,11.7,168.0,105.0
2004-03-20 14:00:00,2.1,9.3,125.0,93.0
2004-03-20 15:00:00,1.7,7.6,95.0,87.0
2004-03-20 16:00:00,1.6,6.7,79.0,76.0
2004-03-20 17:00:00,2.1,9.7,119.0,94.0
2004-03-20 18:00:00,2.3,12.4,142.0,110.0
2004-03-20 19:00:00,3.5,16.6,215.0,136.0
2004-03-20 20:00:00,3.9,16.4,229.0,139.0
2004-03-20 21:00:00,3.3,13.7,206.0,125.0
2004-03-20 22:00:00,2.3,9.9,147.0,111.0
2004-03-20 23:00:00,2.1,8.9,122.0,97.0
2004-03-21 00:00:00,2.8,10.6,175.0,107.0
2004-03-21 01:00:00,2.1,7.4,133.0,90.0
2004-03-21 02:00:00,1.6,6.2,89.0,84.0
2004-03-21 03:00:00,1.6,6.5,87.0,85.5
2004-03-21 04:00:00,1.35,5.8,85.0,87.0
2004-03-21 05:00:00,1.1,4.0,55.0,66.0
2004-03-21 06:00:00,0.7,2.1,24.0,36.0
2004-03-21 07:00:00,0.8,3.6,72.0,62.0
2004-03-21 08:00:00,1.2,4.4,122.0,91.0
2004-03-21 09:00:00,1.4,5.4,111.0,89.0
2004-03-21 10:00:00,1.7,7.1,123.0,93.0
2004-03-21 11:00:00,1.8,7.3,106.0,81.0
2004-03-21 12:00:00,1.8,7.6,103.0,82.0
2004-03-21 13:00:00,1.9,6.8,102.0,80.0
2004-03-21 14:00:00,1.3,4.6,48.0,48.0
2004-03-21 15:00:00,1.6,8.4,63.0,61.0
2004-03-21 16:00:00,1.9,6.9,98.0,89.0
2004-03-21 17:00:00,2.3,9.0,132.0,105.0
2004-03-21 18:00:00,3.8,15.1,173.0,116.0
2004-03-21 19:00:00,3.5,12.6,185.0,119.0
2004-03-21 20:00:00,4.3,15.1,266.0,144.0
2004-03-21 21:00:00,2.8,9.9,188.0,123.0
2004-03-21 22:00:00,1.9,8.0,122.0,105.0
2004-03-21 23:00:00,1.9,7.9,112.0,93.0
2004-03-22 00:00:00,1.7,6.1,93.0,86.0
2004-03-22 01:00:00,1.5,5.1,74.0,76.0
2004-03-22 02:00:00,0.6,1.7,23.0,33.0
2004-03-22 03:00:00,0.4,0.7,20.0,30.0
2004-03-22 04:00:00,0.35,0.8,17.0,27.0
2004-03-22 05:00:00,0.3,0.7,15.0,23.0
2004-03-22 06:00:00,0.6,2.0,41.0,46.0
2004-03-22 07:00:00,1.2,5.1,86.0,76.0
2004-03-22 08:00:00,3.6,17.7,226.0,116.0
2004-03-22 09:00:00,3.7,18.4,214.0,115.0
2004-03-22 10:00:00,1.8,6.9,115.0,83.0
2004-03-22 11:00:00,1.6,7.3,124.0,87.0
2004-03-22 12:00:00,1.9,9.6,122.0,90.0
2004-03-22 13:00:00,2.0,10.4,107.0,87.0
2004-03-22 14:00:00,2.2,11.2,133.0,99.0
2004-03-22 15:00:00,2.1,10.7,130.0,99.0
2004-03-22 16:00:00,2.3,11.6,150.0,101.0
2004-03-22 17:00:00,2.6,12.4,138.0,103.0
2004-03-22 18:00:00,3.8,18.3,213.0,129.0
2004-03-22 19:00:00,4.4,21.0,232.0,143.0
2004-03-22 20:00:00,4.5,21.0,238.0,146.0
2004-03-22 21:00:00,3.3,14.5,180.0,124.0
2004-03-22 22:00:00,2.0,8.4,128.0,113.0
2004-03-22 23:00:00,1.1,4.3,65.0,80.0
2004-03-23 00:00:00,0.9,3.8,53.0,72.0
2004-03-23 01:00:00,0.8,2.7,47.0,64.0
2004-03-23 02:00:00,0.7,2.5,51.0,70.0
2004-03-23 03:00:00,0.5,1.2,35.5,50.5
2004-03-23 04:00:00,0.4,0.8,20.0,31.0
2004-03-23 05:00:00,0.3,0.6,13.0,22.0
2004-03-23 06:00:00,0.5,1.8,33.0,47.0
2004-03-23 07:00:00,1.1,4.6,103.0,88.0
2004-03-23 08:00:00,3.0,14.2,224.0,130.0
2004-03-23 09:00:00,3.8,21.0,244.0,132.0
2004-03-23 10:00:00,3.4,16.2,237.0,132.0
2004-03-23 11:00:00,3.0,15.5,220.0,131.0
2004-03-23 12:00:00,2.7,13.4,207.0,129.0
2004-03-23 13:00:00,3.5,16.9,208.0,132.0
2004-03-23 14:00:00,2.8,12.4,160.0,110.0
2004-03-23 15:00:00,1.9,10.1,131.0,99.0
2004-03-23 16:00:00,2.0,8.7,128.0,100.0
2004-03-23 17:00:00,3.0,13.8,176.0,122.0
2004-03-23 18:00:00,1.9,9.3,107.0,97.0
2004-03-23 19:00:00,2.7,13.0,131.0,112.0
2004-03-23 20:00:00,3.3,14.3,166.0,128.0
2004-03-23 21:00:00,1.7,7.6,89.0,101.0
2004-03-23 22:00:00,1.3,5.3,81.0,96.0
2004-03-23 23:00:00,1.3,5.4,78.0,86.0
2004-03-24 00:00:00,1.2,4.9,70.0,85.0
2004-03-24 01:00:00,1.1,4.6,76.0,79.0
2004-03-24 02:00:00,0.9,2.7,43.0,61.0
2004-03-24 03:00:00,0.6,1.6,43.5,63.5
2004-03-24 04:00:00,0.6,1.7,44.0,66.0
2004-03-24 05:00:00,0.6,1.2,34.0,54.0
2004-03-24 06:00:00,0.8,1.7,43.0,57.0
2004-03-24 07:00:00,1.2,4.8,79.0,75.0
2004-03-24 08:00:00,3.1,13.8,174.0,97.0
2004-03-24 09:00:00,4.4,23.7,235.0,110.0
2004-03-24 10:00:00,3.4,14.2,218.0,113.0
2004-03-24 11:00:00,1.7,8.0,136.0,88.0
2004-03-24 12:00:00,1.5,6.7,117.0,85.0
2004-03-24 13:00:00,1.7,8.7,119.0,96.0
2004-03-24 14:00:00,2.2,10.8,126.0,106.0
2004-03-24 15:00:00,2.45,6.7,100.0,91.0
2004-03-24 16:00:00,2.7,11.4,197.0,126.0
2004-03-24 17:00:00,2.8,13.4,195.0,130.0
2004-03-24 18:00:00,2.7,12.0,156.0,111.0
2004-03-24 19:00:00,4.5,20.2,247.0,134.0
2004-03-24 20:00:00,3.5,14.4,190.0,136.0
2004-03-24 21:00:00,2.6,9.4,169.0,125.0
2004-03-24 22:00:00,1.7,5.9,118.0,108.0
2004-03-24 23:00:00,1.3,4.5,81.0,87.0
2004-03-25 00:00:00,1.3,4.5,80.0,89.0
2004-03-25 01:00:00,1.0,2.5,42.0,58.0
2004-03-25 02:00:00,0.7,1.8,38.0,54.0
2004-03-25 03:00:00,0.7,1.4,28.0,41.0
2004-03-25 04:00:00,0.5,0.9,18.0,28.0
2004-03-25 05:00:00,0.5,0.6,12.0,20.0
2004-03-25 06:00:00,0.6,1.4,43.0,51.0
2004-03-25 07:00:00,1.1,3.8,84.0,82.0
2004-03-25 08:00:00,2.7,11.6,184.0,112.0
2004-03-25 09:00:00,3.5,17.8,202.0,119.0
2004-03-25 10:00:00,2.3,8.8,133.0,99.0
2004-03-25 11:00:00,1.6,6.8,130.0,98.0
2004-03-25 12:00:00,1.3,5.9,106.0,88.0
2004-03-25 13:00:00,2.0,8.9,132.0,96.0
2004-03-25 14:00:00,1.9,8.2,106.0,81.0
2004-03-25 15:00:00,1.9,8.6,125.0,92.0
2004-03-25 16:00:00,2.2,10.1,138.0,105.0
2004-03-25 17:00:00,2.0,9.4,120.0,88.0
2004-03-25 18:00:00,2.9,14.6,158.0,103.0
2004-03-25 19:00:00,5.2,24.6,253.0,141.0
2004-03-25 20:00:00,4.6,21.6,231.0,133.0
2004-03-25 21:00:00,2.5,10.3,150.0,119.0
2004-03-25 22:00:00,1.5,5.7,99.0,106.0
2004-03-25 23:00:00,1.2,4.5,75.0,92.0
2004-03-26 00:00:00,1.7,5.5,93.0,97.0
2004-03-26 01:00:00,1.4,4.8,79.0,91.0
2004-03-26 02:00:00,1.2,3.6,67.0,83.0
2004-03-26 03:00:00,0.6,1.7,56.0,71.0
2004-03-26 04:00:00,0.7,2.2,45.0,59.0
2004-03-26 05:00:00,0.8,3.0,72.0,73.0
2004-03-26 06:00:00,0.9,4.0,103.0,78.0
2004-03-26 07:00:00,1.6,6.7,132.0,90.0
2004-03-26 08:00:00,3.4,16.7,239.0,110.0
2004-03-26 09:00:00,3.8,19.3,275.0,114.0
2004-03-26 10:00:00,3.1,14.8,232.0,119.0
2004-03-26 11:00:00,2.7,13.4,180.0,121.0
2004-03-26 12:00:00,2.0,11.0,112.0,97.0
2004-03-26 13:00:00,2.3,12.5,116.0,99.0
2004-03-26 14:00:00,1.9,8.4,103.0,85.0
2004-03-26 15:00:00,1.3,5.3,89.0,75.0
2004-03-26 16:00:00,1.9,8.8,112.0,87.0
2004-03-26 17:00:00,2.3,11.2,127.0,102.0
2004-03-26 18:00:00,2.4,11.6,125.0,105.0
2004-03-26 19:00:00,2.7,12.4,120.0,98.0
2004-03-26 20:00:00,2.6,10.6,120.0,93.0
2004-03-26 21:00:00,1.5,6.0,99.0,91.0
2004-03-26 22:00:00,1.2,4.6,79.0,85.0
2004-03-26 23:00:00,1.1,4.1,66.0,74.0
2004-03-27 00:00:00,1.5,5.2,94.0,87.0
2004-03-27 01:00:00,1.0,3.2,70.0,79.0
2004-03-27 02:00:00,1.2,4.5,75.0,78.0
2004-03-27 03:00:00,1.1,3.8,66.0,70.5
2004-03-27 04:00:00,0.95,3.8,57.0,63.0
2004-03-27 05:00:00,0.8,1.9,32.0,48.0
2004-03-27 06:00:00,0.9,2.4,54.0,59.0
2004-03-27 07:00:00,1.1,3.3,68.0,65.0
2004-03-27 08:00:00,1.5,6.7,98.0,71.0
2004-03-27 09:00:00,1.8,8.5,128.0,84.0
2004-03-27 10:00:00,2.1,9.7,129.0,93.0
2004-03-27 11:00:00,2.1,9.4,130.0,99.0
2004-03-27 12:00:00,1.9,9.0,111.0,93.0
2004-03-27 13:00:00,2.1,10.0,106.0,96.0
2004-03-27 14:00:00,2.5,12.6,137.0,114.0
2004-03-27 15:00:00,1.9,7.6,113.0,101.0
2004-03-27 16:00:00,2.2,11.8,122.0,108.0
2004-03-27 17:00:00,2.3,11.2,137.0,117.0
2004-03-27 18:00:00,2.7,12.4,165.0,125.0
2004-03-27 19:00:00,3.0,12.9,196.0,133.0
2004-03-27 20:00:00,2.8,12.2,174.0,119.0
2004-03-27 21:00:00,2.2,8.8,140.0,107.0
2004-03-27 22:00:00,1.6,6.8,102.0,96.0
2004-03-27 23:00:00,2.1,8.6,130.0,105.0
2004-03-28 00:00:00,2.3,8.9,121.0,102.0
2004-03-28 01:00:00,2.3,8.3,111.0,97.0
2004-03-28 02:00:00,1.7,6.3,87.0,79.0
2004-03-28 03:00:00,2.2,8.3,82.0,74.0
2004-03-28 04:00:00,1.3,5.1,77.0,69.0
2004-03-28 05:00:00,0.8,2.6,39.0,52.0
2004-03-28 06:00:00,1.1,3.6,77.0,62.0
2004-03-28 07:00:00,1.4,3.6,91.0,69.0
2004-03-28 08:00:00,1.3,4.7,105.0,75.0
2004-03-28 09:00:00,1.9,7.5,133.0,83.0
2004-03-28 10:00:00,2.3,9.0,128.0,94.0
2004-03-28 11:00:00,2.3,9.5,126.0,96.0
2004-03-28 12:00:00,1.8,7.7,92.0,86.0
2004-03-28 13:00:00,1.4,5.7,66.0,72.0
2004-03-28 14:00:00,1.0,3.8,50.0,53.0
2004-03-28 15:00:00,1.4,4.8,70.0,65.0
2004-03-28 16:00:00,1.3,4.3,73.0,70.0
2004-03-28 17:00:00,1.3,4.1,77.0,75.0
2004-03-28 18:00:00,1.4,4.7,86.0,86.0
2004-03-28 19:00:00,1.9,6.2,93.0,94.0
2004-03-28 20:00:00,1.8,5.5,105.0,103.0
2004-03-28 21:00:00,1.1,3.3,67.0,81.0
2004-03-28 22:00:00,1.1,3.2,63.0,80.0
2004-03-28 23:00:00,1.1,2.9,63.0,77.0
2004-03-29 00:00:00,0.9,2.2,46.0,58.0
2004-03-29 01:00:00,0.6,1.3,21.0,31.0
2004-03-29 02:00:00,0.5,1.1,22.0,38.0
2004-03-29 03:00:00,0.7,1.3,30.5,48.5
2004-03-29 04:00:00,0.6,1.2,39.0,59.0
2004-03-29 05:00:00,0.7,1.7,55.0,70.0
2004-03-29 06:00:00,0.9,2.9,76.0,75.0
2004-03-29 07:00:00,2.9,14.3,181.0,103.0
2004-03-29 08:00:00,4.1,19.7,259.0,134.0
2004-03-29 09:00:00,1.5,5.5,118.0,98.0
2004-03-29 10:00:00,1.5,5.6,119.0,97.0
2004-03-29 11:00:00,1.5,5.8,123.0,98.0
2004-03-29 12:00:00,1.4,5.5,92.0,78.0
2004-03-29 13:00:00,1.6,6.5,91.0,83.0
2004-03-29 14:00:00,1.5,5.5,103.0,92.0
2004-03-29 15:00:00,1.4,5.2,102.0,81.0
2004-03-29 16:00:00,1.5,5.8,94.0,90.0
2004-03-29 17:00:00,1.9,7.9,98.0,95.0
2004-03-29 18:00:00,2.5,10.2,126.0,114.0
2004-03-29 19:00:00,2.1,8.2,108.0,106.0
2004-03-29 20:00:00,1.6,5.7,95.0,99.0
2004-03-29 21:00:00,1.2,3.8,78.0,90.0
2004-03-29 22:00:00,1.1,4.0,61.0,82.0
2004-03-29 23:00:00,1.0,2.8,55.0,74.0
2004-03-30 00:00:00,1.0,2.6,57.0,76.0
2004-03-30 01:00:00,0.7,1.8,41.0,66.0
2004-03-30 02:00:00,0.7,1.7,46.0,73.0
2004-03-30 03:00:00,0.8,1.4,43.5,71.0
2004-03-30 04:00:00,0.75,1.3,41.0,69.0
2004-03-30 05:00:00,0.7,2.3,52.0,71.0
2004-03-30 06:00:00,1.1,5.3,111.0,98.0
2004-03-30 07:00:00,2.6,13.4,191.0,115.0
2004-03-30 08:00:00,4.0,23.8,244.0,130.0
2004-03-30 09:00:00,4.2,21.5,283.0,150.0
2004-03-30 10:00:00,4.7,21.0,320.0,159.0
2004-03-30 11:00:00,3.9,18.4,249.0,146.0
2004-03-30 12:00:00,3.7,18.9,219.0,138.0
2004-03-30 13:00:00,3.4,17.1,200.0,128.0
2004-03-30 14:00:00,2.2,10.4,138.0,97.0
2004-03-30 15:00:00,1.9,8.0,118.0,91.0
2004-03-30 16:00:00,1.6,6.2,99.0,81.0
2004-03-30 17:00:00,2.1,9.7,112.0,99.0
2004-03-30 18:00:00,2.2,9.6,117.0,101.0
2004-03-30 19:00:00,2.7,11.9,129.0,106.0
2004-03-30 20:00:00,2.4,8.7,132.0,102.0
2004-03-30 21:00:00,1.3,4.7,73.0,84.0
2004-03-30 22:00:00,1.2,3.8,68.0,81.0
2004-03-30 23:00:00,1.5,4.7,80.0,91.0
2004-03-31 00:00:00,1.3,3.8,68.0,82.0
2004-03-31 01:00:00,1.0,2.7,44.0,64.0
2004-03-31 02:00:00,0.9,2.8,47.0,70.0
2004-03-31 03:00:00,0.5,1.0,31.0,48.0
2004-03-31 04:00:00,0.5,0.8,15.0,26.0
2004-03-31 05:00:00,0.6,1.5,44.0,58.0
2004-03-31 06:00:00,1.0,3.5,85.0,93.0
2004-03-31 07:00:00,3.1,15.6,207.0,110.0
2004-03-31 08:00:00,4.1,19.9,230.0,115.0
2004-03-31 09:00:00,2.2,8.6,181.0,125.0
2004-03-31 10:00:00,1.7,6.5,144.0,118.0
2004-03-31 11:00:00,1.9,7.7,140.0,109.0
2004-03-31 12:00:00,2.9,11.3,204.0,123.0
2004-03-31 13:00:00,2.2,9.1,149.0,114.0
2004-03-31 14:00:00,2.6,11.2,171.0,114.0
2004-03-31 15:00:00,3.1,13.5,195.0,119.0
2004-03-31 16:00:00,2.3,10.1,152.0,111.0
2004-03-31 17:00:00,2.4,11.3,128.0,103.0
2004-03-31 18:00:00,2.8,11.8,121.0,103.0
2004-03-31 19:00:00,2.7,11.5,142.0,107.0
2004-03-31 20:00:00,2.3,9.3,131.0,105.0
2004-03-31 21:00:00,1.5,5.5,81.0,91.0
2004-03-31 22:00:00,1.4,5.1,60.0,79.0
2004-03-31 23:00:00,1.2,4.8,57.0,79.0
2004-04-01 00:00:00,1.6,6.3,96.0,86.0
2004-04-01 01:00:00,1.2,5.1,85.0,70.0
2004-04-01 02:00:00,1.1,4.1,50.0,55.0
2004-04-01 03:00:00,0.9,4.0,53.5,52.0
2004-04-01 04:00:00,0.7,2.4,57.0,49.0
2004-04-01 05:00:00,0.9,2.9,64.0,50.0
2004-04-01 06:00:00,1.7,7.4,153.0,67.0
2004-04-01 07:00:00,4.2,19.8,342.0,94.0
2004-04-01 08:00:00,6.2,31.9,378.0,119.0
2004-04-01 09:00:00,4.6,21.0,304.0,139.0
2004-04-01 10:00:00,2.8,11.7,192.0,113.0
2004-04-01 11:00:00,1.6,6.8,130.0,88.0
2004-04-01 12:00:00,1.7,7.4,106.0,73.0
2004-04-01 13:00:00,1.7,8.6,102.0,73.0
2004-04-01 14:00:00,1.7,10.55,99.0,72.0
2004-04-01 15:00:00,1.9,12.5,108.0,81.0
2004-04-01 16:00:00,2.3,14.45,131.0,93.0
2004-04-01 17:00:00,3.3,16.4,163.0,106.0
2004-04-01 18:00:00,4.2,21.2,211.0,132.0
2004-04-01 19:00:00,5.5,25.0,267.0,164.0
2004-04-01 20:00:00,4.9,20.2,269.0,161.0
2004-04-01 21:00:00,2.5,10.8,154.0,124.0
2004-04-01 22:00:00,2.0,9.9,127.0,113.0
2004-04-01 23:00:00,2.0,8.5,122.0,103.0
2004-04-02 00:00:00,2.0,8.0,126.0,104.0
2004-04-02 01:00:00,1.3,5.6,84.0,93.0
2004-04-02 02:00:00,1.0,3.2,58.0,60.0
2004-04-02 03:00:00,0.9,3.3,47.5,56.0
2004-04-02 04:00:00,0.8,2.8,37.0,52.0
2004-04-02 05:00:00,0.7,2.6,56.0,66.0
2004-04-02 06:00:00,1.1,4.3,91.0,82.0
2004-04-02 07:00:00,2.6,13.0,159.0,109.0
2004-04-02 08:00:00,3.9,20.3,190.0,114.0
2004-04-02 09:00:00,5.0,20.7,249.0,139.0
2004-04-02 10:00:00,3.3,15.9,196.0,127.0
2004-04-02 11:00:00,2.9,14.2,180.0,127.0
2004-04-02 12:00:00,3.1,15.9,167.0,135.0
2004-04-02 13:00:00,3.0,16.1,159.0,130.0
2004-04-02 14:00:00,2.7,14.7,152.0,126.0
2004-04-02 15:00:00,2.7,14.0,149.0,121.0
2004-04-02 16:00:00,2.6,13.6,143.0,122.0
2004-04-02 17:00:00,3.7,19.7,185.0,138.0
2004-04-02 18:00:00,4.5,23.3,223.0,165.0
2004-04-02 19:00:00,4.7,24.1,215.0,154.0
2004-04-02 20:00:00,5.5,25.4,271.0,168.0
2004-04-02 21:00:00,3.0,14.1,180.0,146.0
2004-04-02 22:00:00,1.9,10.1,115.0,124.0
2004-04-02 23:00:00,2.3,12.1,149.0,124.0
2004-04-03 00:00:00,1.6,9.0,98.0,106.0
2004-04-03 01:00:00,1.3,6.3,73.0,88.0
2004-04-03 02:00:00,1.2,5.3,69.0,83.0
2004-04-03 03:00:00,0.9,3.8,64.5,78.5
2004-04-03 04:00:00,0.8,3.0,60.0,74.0
2004-04-03 05:00:00,0.8,3.3,56.0,64.0
2004-04-03 06:00:00,0.9,3.5,73.0,69.0
2004-04-03 07:00:00,2.0,9.5,159.0,91.0
2004-04-03 08:00:00,3.0,15.2,203.0,96.0
2004-04-03 09:00:00,3.1,14.3,211.0,106.0
2004-04-03 10:00:00,3.1,11.2,211.51020408163265,106.36734693877553
2004-04-03 11:00:00,3.1,11.4,212.0204081632653,106.73469387755102
2004-04-03 12:00:00,3.1,13.4,212.53061224489795,107.10204081632654
2004-04-03 13:00:00,3.1,10.6,213.0408163265306,107.46938775510203
2004-04-03 14:00:00,3.1,10.8,213.55102040816325,107.83673469387756
2004-04-03 15:00:00,3.1,11.9,214.0612244897959,108.20408163265306
2004-04-03 16:00:00,3.1,13.5,214.0612244897959,108.20408163265306
2004-04-03 17:00:00,3.1,15.2,214.0612244897959,108.20408163265306
2004-04-03 18:00:00,3.1,17.1,214.0612244897959,108.20408163265306
2004-04-03 19:00:00,3.1,26.7,214.0612244897959,108.20408163265306
2004-04-03 20:00:00,3.1,14.2,214.0612244897959,108.20408163265306
2004-04-03 21:00:00,3.1,8.5,214.0612244897959,108.20408163265306
2004-04-03 22:00:00,3.1,14.3,214.0612244897959,108.20408163265306
2004-04-03 23:00:00,3.1,9.3,214.0612244897959,108.20408163265306
2004-04-04 00:00:00,3.1,7.8,214.0612244897959,108.20408163265306
2004-04-04 01:00:00,3.1,6.7,214.0612244897959,108.20408163265306
2004-04-04 02:00:00,3.1,5.4,214.0612244897959,108.20408163265306
2004-04-04 03:00:00,3.1,5.6,214.0612244897959,108.20408163265306
2004-04-04 04:00:00,3.1,3.5,214.0612244897959,108.20408163265306
2004-04-04 05:00:00,3.1,3.0,214.0612244897959,108.20408163265306
2004-04-04 06:00:00,3.1,4.4,214.0612244897959,108.20408163265306
2004-04-04 07:00:00,3.1,3.5,214.0612244897959,108.20408163265306
2004-04-04 08:00:00,3.1,4.2,214.0612244897959,108.20408163265306
2004-04-04 09:00:00,3.1,8.0,214.0612244897959,108.20408163265306
2004-04-04 10:00:00,3.1,9.0,214.0612244897959,108.20408163265306
2004-04-04 11:00:00,3.1,8.1,214.0612244897959,108.20408163265306
2004-04-04 12:00:00,3.1,8.6,214.0612244897959,108.20408163265306
2004-04-04 13:00:00,3.1,7.1,214.0612244897959,108.20408163265306
2004-04-04 14:00:00,3.1,5.6,214.0612244897959,108.20408163265306
2004-04-04 15:00:00,3.1,10.0,214.0612244897959,108.20408163265306
2004-04-04 16:00:00,3.1,10.5,214.0612244897959,108.20408163265306
2004-04-04 17:00:00,3.1,10.1,214.0612244897959,108.20408163265306
2004-04-04 18:00:00,3.1,10.0,214.0612244897959,108.20408163265306
2004-04-04 19:00:00,3.1,13.0,214.0612244897959,108.20408163265306
2004-04-04 20:00:00,3.1,10.5,214.0612244897959,108.20408163265306
2004-04-04 21:00:00,3.1,5.2,214.0612244897959,108.20408163265306
2004-04-04 22:00:00,3.1,6.9,214.0612244897959,108.20408163265306
2004-04-04 23:00:00,3.1,6.4,214.0612244897959,108.20408163265306
2004-04-05 00:00:00,3.1,4.7,214.0612244897959,108.20408163265306
2004-04-05 01:00:00,3.1,2.4,214.0612244897959,108.20408163265306
2004-04-05 02:00:00,3.1,2.2,214.0612244897959,108.20408163265306
2004-04-05 03:00:00,3.1,1.1,214.0612244897959,108.20408163265306
2004-04-05 04:00:00,3.1,0.9,232.9387755102041,121.79591836734694
2004-04-05 05:00:00,3.1,3.1,233.44897959183675,122.16326530612244
2004-04-05 06:00:00,3.1,6.2,233.9591836734694,122.53061224489797
2004-04-05 07:00:00,3.1,13.2,234.46938775510205,122.89795918367346
2004-04-05 08:00:00,3.1,25.8,234.9795918367347,123.26530612244898
2004-04-05 09:00:00,3.1,18.2,235.48979591836735,123.63265306122447
2004-04-05 10:00:00,3.1,14.3,236.0,124.0
2004-04-05 11:00:00,3.0,13.7,228.0,121.0
2004-04-05 12:00:00,3.2,15.7,206.0,114.0
2004-04-05 13:00:00,3.1,15.4,188.0,114.0
2004-04-05 14:00:00,2.5,12.6,158.0,106.0
2004-04-05 15:00:00,2.1,9.8,124.0,89.0
2004-04-05 16:00:00,2.0,9.6,98.0,82.0
2004-04-05 17:00:00,3.2,16.3,160.0,111.0
2004-04-05 18:00:00,4.1,19.8,194.0,132.0
2004-04-05 19:00:00,3.9,18.0,174.0,121.0
2004-04-05 20:00:00,3.1,13.6,157.0,116.0
2004-04-05 21:00:00,2.0,8.7,109.0,100.0
2004-04-05 22:00:00,1.7,7.7,85.0,89.0
2004-04-05 23:00:00,1.6,7.3,90.0,92.0
2004-04-06 00:00:00,1.0,4.1,61.0,71.0
2004-04-06 01:00:00,0.8,2.7,36.0,51.0
2004-04-06 02:00:00,0.5,1.5,25.0,39.0
2004-04-06 03:00:00,0.5,1.9,24.5,37.0
2004-04-06 04:00:00,0.5,1.8,24.0,35.0
2004-04-06 05:00:00,0.8,3.4,73.0,64.0
2004-04-06 06:00:00,1.7,8.5,164.0,94.0
2004-04-06 07:00:00,4.5,24.1,329.0,134.0
2004-04-06 08:00:00,6.2,33.7,302.0,129.0
2004-04-06 09:00:00,4.4,22.0,256.0,125.0
2004-04-06 10:00:00,2.9,14.1,182.0,107.0
